,Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,s-gene_location,gene_length,protein_id,protein_length
694,MT415902,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,USA: VA,Homo sapiens,,2020-03,[21546:25368](+),3822,QJG65796.1,1273
695,MT415903,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: VA,Homo sapiens,,2020-03,[21562:25384](+),3822,QJG65808.1,1273
696,MT415904,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: VA,Homo sapiens,,2020-04,[21560:25382](+),3822,QJG65820.1,1273
697,MT415905,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,USA: VA,Homo sapiens,,2020-04,[21554:25376](+),3822,QJG65832.1,1273
698,MT415906,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: VA,Homo sapiens,,2020-03,[21562:25384](+),3822,QJG65844.1,1273
699,MT415907,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: VA,Homo sapiens,,2020-04,[21559:25381](+),3822,QJG65856.1,1273
700,MT415908,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,USA: VA,Homo sapiens,,2020-04,[21540:25362](+),3822,QJG65868.1,1273
701,MT415909,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-04,[21524:25346](+),3822,QJG65880.1,1273
702,MT415910,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA: VA,Homo sapiens,,2020-04,[21550:25372](+),3822,QJG65892.1,1273
703,MT415911,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: VA,Homo sapiens,,2020-04,[21552:25374](+),3822,QJG65904.1,1273
704,MT415912,2020-04-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: VA,Homo sapiens,,2020-04,[21552:25374](+),3822,QJG65916.1,1273
705,MT394528,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: CA,Homo sapiens,,2020-03-24,[21555:25377](+),3822,QJF11947.1,1273
706,MT394529,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens,,2020-03-24,[21551:25373](+),3822,QJF11959.1,1273
707,MT394530,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens,,2020-03-31,[21558:25380](+),3822,QJF11971.1,1273
708,MT394531,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: CA,Homo sapiens,,2020-03-31,[21559:25381](+),3822,QJF11983.1,1273
709,MT394864,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens,,2020-03-14,[21508:25330](+),3822,QJF11935.1,1273
710,MT396241,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,China,,,2020-03-06,[21559:25381](+),3822,QJF11896.1,1273
711,MT396242,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,India,Homo sapiens,oronasopharynx,2020-04-08,[21537:25359](+),3822,QJF11812.1,1273
712,MT396243,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,India,Homo sapiens,oronasopharynx,2020-04-06,[21536:25358](+),3822,QJF11824.1,1273
713,MT396244,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,India,Homo sapiens,oronasopharynx,2020-04-14,[21534:25356](+),3822,QJF11836.1,1273
714,MT396245,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,India,Homo sapiens,oronasopharynx,2020-04-10,[21532:25354](+),3822,QJF11848.1,1273
715,MT396246,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29839,India,Homo sapiens,oronasopharynx,2020-04-10,[21535:25357](+),3822,QJF11860.1,1273
716,MT396247,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29839,India,Homo sapiens,oronasopharynx,2020-04-06,[21535:25357](+),3822,QJF11872.1,1273
717,MT396248,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29839,India,Homo sapiens,oronasopharynx,2020-04-14,[21535:25357](+),3822,QJF11884.1,1273
718,MT396266,2020-04-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29880,Netherlands: Milheeze,Mustela lutreola,lung,2020-04-24,[21552:25374](+),3822,QJF11995.1,1273
719,MT380726,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1321,Iran,Homo sapiens,"lung, oronasopharynx",2020-04-20,,,,
720,MT380727,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1321,Iran,Homo sapiens,"lung, oronasopharynx",2020-04-20,,,,
721,MT380728,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens,oronasopharynx,2020-03-29,[21562:25384](+),3822,QJE37815.1,1273
722,MT380729,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens,oronasopharynx,2020-03-31,[21562:25384](+),3822,QJE37827.1,1273
723,MT380730,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens,oronasopharynx,2020-04-01,[21562:25384](+),3822,QJE37839.1,1273
724,MT380731,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens,,2020-03-20,[21562:25384](+),3822,QJE37851.1,1273
725,MT380732,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens,oronasopharynx,2020-03-22,[21562:25384](+),3822,QJE37863.1,1273
726,MT380733,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens,oronasopharynx,2020-03-28,[21562:25384](+),3822,QJE37875.1,1273
727,MT380734,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens,oronasopharynx,2020-03-23,[21562:25384](+),3822,QJE37887.1,1273
728,MT385414,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens,,2020-03-28,[21562:25384](+),3822,QJE38210.1,1273
729,MT385415,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens,,2020-03-28,[21562:25384](+),3822,QJE38222.1,1273
730,MT385416,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens,,2020-04-08,[21562:25384](+),3822,QJE38234.1,1273
731,MT385417,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: CA,Homo sapiens,,2020-04-08,[21562:25384](+),3822,QJE38246.1,1273
732,MT385418,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens,,2020-03-23,[21561:25383](+),3822,QJE38258.1,1273
733,MT385419,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens,,2020-04-08,[21561:25383](+),3822,QJE38270.1,1273
734,MT385420,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: CA,Homo sapiens,,2020-03-28,[21561:25383](+),3822,QJE38282.1,1273
735,MT385421,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: CA,Homo sapiens,,2020-03-25,[21560:25382](+),3822,QJE38294.1,1273
736,MT385422,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: CA,Homo sapiens,,2020-03-28,[21560:25382](+),3822,QJE38306.1,1273
737,MT385423,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens,,2020-03-28,[21559:25381](+),3822,QJE38318.1,1273
738,MT385424,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: CA,Homo sapiens,,2020-03-28,[21559:25381](+),3822,QJE38330.1,1273
739,MT385425,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: CA,Homo sapiens,,2020-03-25,[21558:25380](+),3822,QJE38342.1,1273
740,MT385426,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: CA,Homo sapiens,,2020-03-28,[21558:25380](+),3822,QJE38354.1,1273
741,MT385427,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: CA,Homo sapiens,,2020-04-08,[21558:25380](+),3822,QJE38366.1,1273
742,MT385428,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA: CA,Homo sapiens,,2020-03-28,[21556:25378](+),3822,QJE38378.1,1273
743,MT385429,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,USA: CA,Homo sapiens,,2020-03-28,[21554:25376](+),3822,QJE38390.1,1273
744,MT385430,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,USA: CA,Homo sapiens,,2020-03-28,[21553:25375](+),3822,QJE38402.1,1273
745,MT385431,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens,,2020-03-18,[21551:25373](+),3822,QJE38414.1,1273
746,MT385432,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens,,2020-03-28,[21551:25373](+),3822,QJE38426.1,1273
747,MT385433,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens,,2020-04-08,[21551:25373](+),3822,QJE38438.1,1273
748,MT385434,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: CA,Homo sapiens,,2020-03-28,[21552:25374](+),3822,QJE38450.1,1273
749,MT385435,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens,,2020-04-08,[21551:25373](+),3822,QJE38462.1,1273
750,MT385436,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA: CA,Homo sapiens,,2020-03-25,[21550:25372](+),3822,QJE38474.1,1273
751,MT385437,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA: CA,Homo sapiens,,2020-03-28,[21550:25372](+),3822,QJE38486.1,1273
752,MT385438,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA: CA,Homo sapiens,,2020-04-08,[21550:25372](+),3822,QJE38498.1,1273
753,MT385439,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,USA: CA,Homo sapiens,,2020-03-28,[21560:25382](+),3822,QJE38510.1,1273
754,MT385440,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,USA: CA,Homo sapiens,,2020-03-23,[21551:25373](+),3822,QJE38522.1,1273
755,MT385441,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,USA: CA,Homo sapiens,,2020-03-25,[21545:25367](+),3822,QJE38534.1,1273
756,MT385442,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29885,USA: CA,Homo sapiens,,2020-04-03,[21562:25384](+),3822,QJE38546.1,1273
757,MT385443,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29881,USA: CA,Homo sapiens,,2020-03-28,[21552:25374](+),3822,QJE38558.1,1273
758,MT385444,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: CA,Homo sapiens,,2020-03-31,[21562:25384](+),3822,QJE38570.1,1273
759,MT385445,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens,,2020-03-25,[21561:25383](+),3822,QJE38582.1,1273
760,MT385446,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29874,USA: CA,Homo sapiens,,2020-03-23,[21561:25383](+),3822,QJE38594.1,1273
761,MT385447,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: CA,Homo sapiens,,2020-03-31,[21560:25382](+),3822,QJE38606.1,1273
762,MT385448,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: CA,Homo sapiens,,2020-03-23,[21559:25381](+),3822,QJE38618.1,1273
763,MT385449,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,USA: CA,Homo sapiens,,2020-03-31,[21558:25380](+),3822,QJE38630.1,1273
764,MT385450,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,USA: CA,Homo sapiens,,2020-03-31,[21557:25379](+),3822,QJE38642.1,1273
765,MT385451,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,USA: CA,Homo sapiens,,2020-04-08,[21556:25378](+),3822,QJE38654.1,1273
766,MT385452,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: CA,Homo sapiens,,2020-04-03,[21555:25377](+),3822,QJE38666.1,1273
767,MT385453,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29881,USA: CA,Homo sapiens,,2020-03-28,[21550:25372](+),3822,QJE38678.1,1273
768,MT385454,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: CA,Homo sapiens,,2020-03-28,[21551:25373](+),3822,QJE38690.1,1273
769,MT385455,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: CA,Homo sapiens,,2020-04-08,[21551:25373](+),3822,QJE38702.1,1273
770,MT385456,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,2020-03-28,[21550:25372](+),3822,QJE38714.1,1273
771,MT385457,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: CA,Homo sapiens,,2020-03-28,[21550:25372](+),3822,QJE38726.1,1273
772,MT385458,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: CA,Homo sapiens,,2020-03-23,[21549:25371](+),3822,QJE38738.1,1273
773,MT385459,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens,,2020-03-25,[21549:25371](+),3822,QJE38750.1,1273
774,MT385460,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: CA,Homo sapiens,,2020-03-28,[21550:25372](+),3822,QJE38762.1,1273
775,MT385461,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: CA,Homo sapiens,,2020-03-25,[21548:25370](+),3822,QJE38774.1,1273
776,MT385462,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,USA: CA,Homo sapiens,,2020-03-23,[21546:25368](+),3822,QJE38786.1,1273
777,MT385463,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,USA: CA,Homo sapiens,,2020-03-25,[21550:25372](+),3822,QJE38798.1,1273
778,MT385464,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,USA: CA,Homo sapiens,,2020-03-23,[21546:25368](+),3822,QJE38810.1,1273
779,MT385465,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,USA: CA,Homo sapiens,,2020-03-28,[21549:25371](+),3822,QJE38822.1,1273
780,MT385466,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,USA: CA,Homo sapiens,,2020-03-23,[21546:25368](+),3822,QJE38834.1,1273
781,MT385467,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29842,USA: CA,Homo sapiens,,2020-04-08,[21540:25362](+),3822,QJE38846.1,1273
782,MT385468,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,USA: CA,Homo sapiens,,2020-04-08,[21548:25370](+),3822,QJE38858.1,1273
783,MT385469,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,USA: CA,Homo sapiens,,2020-03-25,[21547:25369](+),3822,QJE38870.1,1273
784,MT385470,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,USA: CA,Homo sapiens,,2020-04-08,[21548:25370](+),3822,QJE38882.1,1273
785,MT385471,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,USA: CA,Homo sapiens,,2020-04-08,[21550:25372](+),3822,QJE38894.1,1273
786,MT385472,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-03-25,[21546:25368](+),3822,QJE38906.1,1273
787,MT385473,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-03-28,[21546:25368](+),3822,QJE38918.1,1273
788,MT385474,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-03-28,[21546:25368](+),3822,QJE38930.1,1273
789,MT385475,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: CA,Homo sapiens,,2020-04-03,[21549:25371](+),3822,QJE38942.1,1273
790,MT385476,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-03-23,[21546:25368](+),3822,QJE38954.1,1273
791,MT385477,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-04-08,[21546:25368](+),3822,QJE38966.1,1273
792,MT385478,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,USA: CA,Homo sapiens,,2020-04-08,[21545:25367](+),3822,QJE38978.1,1273
793,MT385479,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,USA: CA,Homo sapiens,,2020-03-31,[21547:25369](+),3822,QJE38990.1,1273
794,MT385480,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-03-28,[21546:25368](+),3822,QJE39002.1,1273
795,MT385481,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-03-28,[21546:25368](+),3822,QJE39014.1,1273
796,MT385482,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,USA: CA,Homo sapiens,,2020-03-28,[21548:25370](+),3822,QJE39026.1,1273
797,MT385483,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,USA: CA,Homo sapiens,,2020-03-28,[21544:25366](+),3822,QJE39038.1,1273
798,MT385484,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,USA: CA,Homo sapiens,,2020-03-31,[21538:25360](+),3822,QJE39050.1,1273
799,MT385485,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,USA: CA,Homo sapiens,,2020-04-08,[21545:25367](+),3822,QJE39062.1,1273
800,MT385486,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,USA: CA,Homo sapiens,,2020-04-08,[21551:25373](+),3822,QJE39074.1,1273
801,MT385487,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-03-25,[21546:25368](+),3822,QJE39085.1,1273
802,MT385488,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: CA,Homo sapiens,,2020-03-25,[21546:25368](+),3822,QJE39097.1,1273
803,MT385489,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,USA: CA,Homo sapiens,,2020-03-28,[21541:25363](+),3822,QJE39109.1,1273
804,MT385490,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: CA,Homo sapiens,,2020-03-28,[21537:25359](+),3822,QJE39121.1,1273
805,MT385491,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29689,USA: CA,Homo sapiens,,2020-03-31,[21547:25369](+),3822,QJE39133.1,1273
806,MT385492,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,USA: CA,Homo sapiens,,2020-03-25,[21541:25363](+),3822,QJE39145.1,1273
807,MT385493,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29680,USA: CA,Homo sapiens,,2020-03-25,[21538:>25324](+),3786,QJE39157.1,1262
808,MT385494,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,USA: CA,Homo sapiens,,2020-03-23,[21534:25356](+),3822,QJE39169.1,1273
809,MT385495,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,USA: CA,Homo sapiens,,2020-03-28,[21541:25363](+),3822,QJE39181.1,1273
810,MT385496,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29837,USA: CA,Homo sapiens,,2020-03-31,[21547:25369](+),3822,QJE39193.1,1273
811,MT385497,2020-04-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: CA,Homo sapiens,,2020-03-25,[21542:25364](+),3822,QJE39205.1,1273
812,MT186683,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,Hong Kong,Homo sapiens,oronasopharynx,2020-01,[21562:25384](+),3822,QIK02132.1,1273
813,MT252677,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,USA: WA,Homo sapiens,,2020-03-10,[21544:25366](+),3822,QJD47919.1,1273
814,MT252678,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,USA: WA,Homo sapiens,,2020-03-10,[21513:25335](+),3822,QJD47931.1,1273
815,MT252679,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,USA: WA,Homo sapiens,,2020-03-10,[21530:25352](+),3822,QJD47943.1,1273
816,MT252680,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: WA,Homo sapiens,,2020-03-10,[21511:25333](+),3822,QJD47955.1,1273
817,MT252681,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29772,USA: WA,Homo sapiens,,2020-03-10,[21438:25260](+),3822,QJD47967.1,1273
818,MT252682,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: WA,Homo sapiens,,2020-03-10,[21531:25353](+),3822,QJD47979.1,1273
819,MT252683,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29736,USA: WA,Homo sapiens,,2020-03-10,[21436:25258](+),3822,QJD47991.1,1273
820,MT252684,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,USA: WA,Homo sapiens,,2020-03-10,[21489:25311](+),3822,QJD48003.1,1273
821,MT252685,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,USA: WA,Homo sapiens,,2020-03-10,[21487:25309](+),3822,QJD48015.1,1273
822,MT252686,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29820,USA: WA,Homo sapiens,,2020-03-10,[21479:25301](+),3822,QJD48027.1,1273
823,MT252687,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29796,USA: WA,Homo sapiens,,2020-03-10,[21513:25335](+),3822,QJD48039.1,1273
824,MT252688,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: WA,Homo sapiens,,2020-03-10,[21562:25384](+),3822,QJD48051.1,1273
825,MT252689,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,USA: WA,Homo sapiens,,2020-03-10,[21474:25296](+),3822,QJD48063.1,1273
826,MT252690,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: WA,Homo sapiens,,2020-03-10,[21511:25333](+),3822,QJD48075.1,1273
827,MT252691,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,USA: WA,Homo sapiens,,2020-03-11,[21488:25310](+),3822,QJD48087.1,1273
828,MT252692,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29499,USA: WA,Homo sapiens,,2020-03-11,[21265:25087](+),3822,QJD48099.1,1273
829,MT252693,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29748,USA: WA,Homo sapiens,,2020-03-11,[21479:25301](+),3822,QJD48111.1,1273
830,MT252694,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,USA: WA,Homo sapiens,,2020-03-10,[21511:25333](+),3822,QJD48123.1,1273
831,MT252695,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,USA: WA,Homo sapiens,,2020-03-10,[21488:25310](+),3822,QJD48135.1,1273
832,MT252696,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,USA: WA,Homo sapiens,,2020-03-13,[21500:25322](+),3822,QJD48147.1,1273
833,MT252697,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,USA: WA,Homo sapiens,,2020-03-13,[21534:25356](+),3822,QJD48159.1,1273
834,MT252698,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,USA: WA,Homo sapiens,,2020-03-13,[21528:25350](+),3822,QJD48171.1,1273
835,MT252699,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29790,USA: WA,Homo sapiens,,2020-03-13,[21488:25310](+),3822,QJD48183.1,1273
836,MT252700,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA: WA,Homo sapiens,,2020-03-13,[21488:25310](+),3822,QJD48195.1,1273
837,MT252701,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29705,USA: WA,Homo sapiens,,2020-03-12,[21436:25258](+),3822,QJD48207.1,1273
838,MT252702,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29911,USA: WA,Homo sapiens,,2020-03-13,[21561:25383](+),3822,QJD48219.1,1273
839,MT252703,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29790,USA: WA,Homo sapiens,,2020-03-13,[21488:25310](+),3822,QJD48231.1,1273
840,MT252704,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29785,USA: WA,Homo sapiens,,2020-03-13,[21485:25307](+),3822,QJD48243.1,1273
841,MT252705,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA: WA,Homo sapiens,,2020-03-13,[21488:25310](+),3822,QJD48255.1,1273
842,MT252706,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,USA: WA,Homo sapiens,,2020-03-13,[21474:25296](+),3822,QJD48267.1,1273
843,MT252707,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29885,USA: WA,Homo sapiens,,2020-03-13,[21547:25369](+),3822,QJD48279.1,1273
844,MT252708,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA: WA,Homo sapiens,,2020-03-13,[21488:25310](+),3822,QJD48291.1,1273
845,MT252709,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29756,USA: WA,Homo sapiens,,2020-03-14,[21456:25278](+),3822,QJD48303.1,1273
846,MT252710,2020-04-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,USA: WA,Homo sapiens,,2020-03-14,[21544:25366](+),3822,QJD48315.1,1273
